lat, lon, acc, bear, bearAcc, magnetometer_x, magnetometer_y, magnetometer_z, heading, 33_asuLevel, 33_cqi, 33_dbm, 33_level, 33_rsrp, 33_rsrq, 33_rssnr, 25_asuLevel, 25_cqi, 25_dbm, 25_level, 25_rsrp, 25_rsrq, 25_rssnr, timestamp, label
24.7895019,120.995031,9.965999603271484,332.27435302734375,0.0,65.82,18.96,-6.8999996,-6.676217,25_53,25_10,25_-87,25_2,25_-87,25_-10,25_6,33_57,33_0,33_-83,33_2,33_-83,33_-11,33_0,17,SIDEWALK
24.7895019,120.995031,9.965999603271484,332.27435302734375,0.0,70.2,15.599999,-7.98,15.195191,25_53,25_10,25_-87,25_2,25_-87,25_-10,25_6,33_57,33_0,33_-83,33_2,33_-83,33_-11,33_0,17,SIDEWALK
24.789517,120.9950241,9.99899959564209,333.424560546875,0.0,64.68,54.78,27.779999,-58.548588,25_53,25_10,25_-87,25_2,25_-87,25_-10,25_6,33_57,33_0,33_-83,33_2,33_-83,33_-11,33_0,17,SIDEWALK
24.7895301,120.9950176,9.99899959564209,333.4228820800781,0.0,53.039997,45.18,30.0,-36.241047,25_52,25_11,25_-88,25_2,25_-88,25_-10,25_-5,33_58,33_0,33_-82,33_2,33_-82,33_-11,33_0,17,SIDEWALK
24.7895301,120.9950176,9.99899959564209,333.4228820800781,0.0,62.16,10.86,-3.1799998,86.735176,25_52,25_11,25_-88,25_2,25_-88,25_-10,25_-5,33_58,33_0,33_-82,33_2,33_-82,33_-11,33_0,17,SIDEWALK
24.7895301,120.9950176,9.99899959564209,333.4228820800781,0.0,65.4,40.8,3.6599998,-6.3456464,25_52,25_11,25_-88,25_2,25_-88,25_-10,25_-5,33_58,33_0,33_-82,33_2,33_-82,33_-11,33_0,17,SIDEWALK
24.7895422,120.9950101,9.928999900817871,332.7233581542969,0.0,64.38,54.3,41.46,-57.92547,25_52,25_11,25_-88,25_2,25_-88,25_-10,25_-5,33_58,33_0,33_-82,33_2,33_-82,33_-11,33_0,17,SIDEWALK
24.7895422,120.9950101,9.928999900817871,332.7233581542969,0.0,52.8,47.219997,19.859999,-9.418913,25_52,25_11,25_-88,25_2,25_-88,25_-10,25_-5,33_58,33_0,33_-82,33_2,33_-82,33_-11,33_0,17,SIDEWALK
24.7895422,120.9950101,9.928999900817871,332.7233581542969,0.0,-2.04,-20.46,-37.8,68.31534,25_52,25_11,25_-88,25_2,25_-88,25_-10,25_-5,33_58,33_0,33_-82,33_2,33_-82,33_-11,33_0,17,SIDEWALK
24.789555,120.9950015,9.824999809265137,331.1986389160156,0.0,-11.4,23.76,-25.619999,-35.902824,25_52,25_11,25_-88,25_2,25_-88,25_-10,25_-5,33_58,33_0,33_-82,33_2,33_-82,33_-11,33_0,17,SIDEWALK
24.789555,120.9950015,9.824999809265137,331.1986389160156,0.0,-14.4,32.16,-4.56,32.801403,25_52,25_11,25_-88,25_2,25_-88,25_-10,25_-5,33_58,33_0,33_-82,33_2,33_-82,33_-11,33_0,17,SIDEWALK
24.7895675,120.9949931,9.86400032043457,330.28118896484375,0.0,-15.719999,1.4399999,-34.5,-104.556694,25_52,25_11,25_-88,25_2,25_-88,25_-10,25_-5,33_58,33_0,33_-82,33_2,33_-82,33_-11,33_0,17,SIDEWALK
24.7895675,120.9949931,9.86400032043457,330.28118896484375,0.0,-10.92,-13.559999,-37.14,-100.139275,25_52,25_11,25_-88,25_2,25_-88,25_-10,25_-5,33_58,33_0,33_-82,33_2,33_-82,33_-11,33_0,17,SIDEWALK
24.7895675,120.9949931,9.86400032043457,330.28118896484375,0.0,-9.3,35.88,-7.2,0.5855123,25_52,25_11,25_-88,25_2,25_-88,25_-10,25_-5,33_58,33_0,33_-82,33_2,33_-82,33_-11,33_0,17,SIDEWALK
24.7895675,120.9949931,9.86400032043457,330.28118896484375,0.0,-20.76,31.98,-1.3199999,22.098215,25_52,25_11,25_-88,25_2,25_-88,25_-10,25_-5,33_58,33_0,33_-82,33_2,33_-82,33_-11,33_0,17,SIDEWALK
24.7895783,120.9949825,9.973999977111816,327.6028137207031,0.0,-9.96,-16.859999,-36.239998,13.614469,25_45,25_8,25_-95,25_2,25_-95,25_-12,25_-4,33_57,33_0,33_-83,33_2,33_-83,33_-12,33_0,17,SIDEWALK
24.7895783,120.9949825,9.973999977111816,327.6028137207031,0.0,-16.02,12.96,-30.9,-69.98407,25_45,25_8,25_-95,25_2,25_-95,25_-12,25_-4,33_57,33_0,33_-83,33_2,33_-83,33_-12,33_0,17,SIDEWALK
24.7895783,120.9949825,9.973999977111816,327.6028137207031,0.0,-14.46,34.5,1.62,25.779505,25_45,25_8,25_-95,25_2,25_-95,25_-12,25_-4,33_57,33_0,33_-83,33_2,33_-83,33_-12,33_0,17,SIDEWALK
24.7895886,120.9949717,10.083999633789062,325.652099609375,0.0,-21.3,13.74,-27.119999,-68.552185,25_45,25_8,25_-95,25_2,25_-95,25_-12,25_-4,33_57,33_0,33_-83,33_2,33_-83,33_-12,33_0,17,SIDEWALK
