lat, lon, acc, bear, bearAcc, magnetometer_x, magnetometer_y, magnetometer_z, heading, 33_asuLevel, 33_cqi, 33_dbm, 33_level, 33_rsrp, 33_rsrq, 33_rssnr, timestamp, label
24.7895835,120.9948098,9.777999877929688,306.2497253417969,0.0,34.32,15.24,-4.92,-56.51414,25_46,25_4,25_-94,25_2,25_-94,25_-13,25_-7,15,SIDEWALK
24.7895835,120.9948098,9.777999877929688,306.2497253417969,0.0,32.46,4.2,-1.86,-142.73254,181_49,181_6,181_-91,181_2,181_-91,181_-13,181_-11,25_46,25_0,25_-94,25_2,25_-94,25_-14,25_0,189_44,189_0,189_-96,189_2,189_-96,189_-18,189_0,33_48,33_0,33_-92,33_2,33_-92,33_-13,33_0,15,SIDEWALK
24.7895835,120.9948098,9.777999877929688,306.2497253417969,0.0,31.859999,8.099999,-11.82,-67.18758,181_49,181_6,181_-91,181_2,181_-91,181_-13,181_-11,25_46,25_0,25_-94,25_2,25_-94,25_-14,25_0,189_44,189_0,189_-96,189_2,189_-96,189_-18,189_0,33_48,33_0,33_-92,33_2,33_-92,33_-13,33_0,15,SIDEWALK
24.7895835,120.9948098,9.777999877929688,306.2497253417969,0.0,30.119999,14.58,-19.859999,94.56224,181_49,181_6,181_-91,181_2,181_-91,181_-13,181_-11,25_46,25_0,25_-94,25_2,25_-94,25_-14,25_0,189_44,189_0,189_-96,189_2,189_-96,189_-18,189_0,33_48,33_0,33_-92,33_2,33_-92,33_-13,33_0,15,SIDEWALK
24.7895893,120.9947954,9.805999755859375,304.4999084472656,0.0,32.579998,10.559999,-6.96,-42.28979,181_49,181_6,181_-91,181_2,181_-91,181_-13,181_-11,25_46,25_0,25_-94,25_2,25_-94,25_-14,25_0,189_44,189_0,189_-96,189_2,189_-96,189_-18,189_0,33_48,33_0,33_-92,33_2,33_-92,33_-13,33_0,15,SIDEWALK
24.7895893,120.9947954,9.805999755859375,304.4999084472656,0.0,31.08,0.84,-4.02,-98.47943,181_49,181_6,181_-91,181_2,181_-91,181_-13,181_-11,25_46,25_0,25_-94,25_2,25_-94,25_-14,25_0,189_44,189_0,189_-96,189_2,189_-96,189_-18,189_0,33_48,33_0,33_-92,33_2,33_-92,33_-13,33_0,15,SIDEWALK
24.7895957,120.9947813,9.779000282287598,303.6583251953125,0.0,30.84,5.64,-15.24,173.185,181_49,181_6,181_-91,181_2,181_-91,181_-13,181_-11,25_46,25_0,25_-94,25_2,25_-94,25_-14,25_0,189_44,189_0,189_-96,189_2,189_-96,189_-18,189_0,33_48,33_0,33_-92,33_2,33_-92,33_-13,33_0,15,SIDEWALK
24.7895957,120.9947813,9.779000282287598,303.6583251953125,0.0,28.859999,14.34,-19.68,-58.79,181_49,181_6,181_-91,181_2,181_-91,181_-13,181_-11,25_46,25_0,25_-94,25_2,25_-94,25_-14,25_0,189_44,189_0,189_-96,189_2,189_-96,189_-18,189_0,33_48,33_0,33_-92,33_2,33_-92,33_-13,33_0,15,SIDEWALK
24.7895957,120.9947813,9.779000282287598,303.6583251953125,0.0,30.359999,7.14,-5.94,-91.42822,181_49,181_6,181_-91,181_2,181_-91,181_-13,181_-11,25_46,25_0,25_-94,25_2,25_-94,25_-14,25_0,189_44,189_0,189_-96,189_2,189_-96,189_-18,189_0,33_48,33_0,33_-92,33_2,33_-92,33_-13,33_0,15,SIDEWALK
24.7895957,120.9947813,9.779000282287598,303.6583251953125,0.0,27.24,-1.62,-7.7999997,-96.85137,181_49,181_6,181_-91,181_2,181_-91,181_-13,181_-11,25_46,25_0,25_-94,25_2,25_-94,25_-14,25_0,189_44,189_0,189_-96,189_2,189_-96,189_-18,189_0,33_48,33_0,33_-92,33_2,33_-92,33_-13,33_0,15,SIDEWALK
24.7895985,120.9947663,9.857999801635742,301.6020202636719,0.0,26.939999,9.3,-21.3,76.493126,181_49,181_6,181_-91,181_2,181_-91,181_-13,181_-11,25_46,25_0,25_-94,25_2,25_-94,25_-14,25_0,189_44,189_0,189_-96,189_2,189_-96,189_-18,189_0,33_48,33_0,33_-92,33_2,33_-92,33_-13,33_0,15,SIDEWALK
24.7895985,120.9947663,9.857999801635742,301.6020202636719,0.0,27.18,15.299999,-20.16,-17.073135,181_49,181_6,181_-91,181_2,181_-91,181_-13,181_-11,25_46,25_0,25_-94,25_2,25_-94,25_-14,25_0,189_44,189_0,189_-96,189_2,189_-96,189_-18,189_0,33_48,33_0,33_-92,33_2,33_-92,33_-13,33_0,15,SIDEWALK
24.7896047,120.9947512,9.866000175476074,301.0492858886719,0.0,29.4,3.78,-1.4399999,-109.30365,181_49,181_6,181_-91,181_2,181_-91,181_-13,181_-11,25_46,25_0,25_-94,25_2,25_-94,25_-14,25_0,189_44,189_0,189_-96,189_2,189_-96,189_-18,189_0,33_48,33_0,33_-92,33_2,33_-92,33_-13,33_0,15,SIDEWALK
